November-16-2022	23:40:07	c44c2aef-48ed-4993-b840-90d093a1f992	GET	/	undefined
December-21-2022	06:56:17	a02c42f7-ad6d-4c78-ad6b-070f369659e5	OPTIONS	/users/login	http://localhost:5173
December-21-2022	06:56:17	0917137c-5e74-4a31-a94d-61372218b12a	POST	/users/login	http://localhost:5173
December-21-2022	06:56:40	c0181188-570e-455a-b082-8e25c28bcbc6	OPTIONS	/users/login	http://localhost:5173
December-21-2022	06:56:40	6fee9678-cf07-4ff3-b3e4-41455ec469a6	POST	/users/login	http://localhost:5173
December-21-2022	07:12:21	5de57453-6309-45c4-adad-1815d95f1680	OPTIONS	/users/reset_password	http://localhost:5173
December-21-2022	07:12:21	53ac5c1b-da8e-4c36-a4a5-093350e26256	POST	/users/reset_password	http://localhost:5173
December-21-2022	07:12:51	e0bb01ba-1ef3-43f4-9339-5c10827066d4	OPTIONS	/users/reset_password	http://localhost:5173
December-21-2022	07:12:52	d6d112ce-d345-44c4-87b1-d656b7ed5b7b	POST	/users/reset_password	http://localhost:5173
December-21-2022	07:12:57	4323bf73-9c74-4865-8668-a1bf01950e48	OPTIONS	/users/reset_password	http://localhost:5173
December-21-2022	07:12:57	1697344d-228f-4044-9f51-d5be7cfa23b1	POST	/users/reset_password	http://localhost:5173
December-21-2022	07:13:02	0add3f27-4075-4fb7-b3d9-c5d4d64fe453	OPTIONS	/users/reset_password	http://localhost:5173
December-21-2022	07:13:02	b2d9017d-f824-4898-acff-0b5f0ea1ded5	POST	/users/reset_password	http://localhost:5173
December-21-2022	07:13:07	8f23c8ed-d81e-4508-9132-a7a0c40f8dc4	POST	/users/reset_password	http://localhost:5173
December-21-2022	07:13:11	5f13f50e-6ed0-4226-8e3a-47656e1e62f7	OPTIONS	/users/reset_password	http://localhost:5173
December-21-2022	07:13:11	1b43f343-604c-4b20-ae3c-3a590b2a369a	POST	/users/reset_password	http://localhost:5173
December-21-2022	07:13:15	d238411b-a98f-4f90-9d63-1ad01fafaa79	POST	/users/reset_password	http://localhost:5173
December-21-2022	07:13:19	6f4735d4-cb38-42e6-bb6b-18b278321540	OPTIONS	/users/reset_password	http://localhost:5173
December-21-2022	07:13:19	da918a20-f827-45eb-908e-b4292fb61ba5	POST	/users/reset_password	http://localhost:5173
December-21-2022	07:30:46	4299f7cf-58ae-461a-9b4a-9b9d1decc030	OPTIONS	/users/reset_password	http://localhost:5173
December-21-2022	07:30:46	795f461a-a0db-40bd-a0ea-1c4529342a8b	POST	/users/reset_password	http://localhost:5173
December-21-2022	07:31:27	cf551a28-d5e7-4ed4-b6c4-b50f9dc140d1	GET	/users/password_reset_confirmation?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySW5mbyI6eyJlbWFpbCI6Iml0c29sdXdhdG9iYnlAZ21haWwuY29tIiwicm9sZXMiOlsiVVNFUiJdfSwiaWF0IjoxNjcxNjA0MjQ3LCJleHAiOjE2NzE2MDU0NDd9.gZYloQK3oncLXgKAtVUTQQZ39wIrIl7kHkgB81Zwy04	undefined
December-21-2022	07:34:51	01fd6a20-1b79-4d09-9ff8-d4fa2112dced	OPTIONS	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	07:34:51	beb2a308-afa3-4166-a7a8-6fc74af3d159	PATCH	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	07:36:34	38d4118c-6a5b-4abe-927d-b38aa4a1f93d	OPTIONS	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	07:36:34	9f62c27a-b191-4883-a35d-58f3d972cd5d	PATCH	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	07:39:46	c8c00f15-126a-414e-8e70-9be57f5160fb	OPTIONS	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	07:39:46	c585241a-de9f-41b8-82d9-73e88ac64d0c	PATCH	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	07:41:39	591fdd8a-98d6-4c61-84b0-8100129eda30	OPTIONS	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	07:41:39	de1a437b-4f56-47c6-9901-726e0561f740	PATCH	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	07:43:55	759654fd-0361-49ea-8124-98c8995e2973	OPTIONS	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	07:43:56	7dbd0a4b-4c3e-44bc-aa6b-af28f27edff6	PATCH	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	07:44:47	d049d967-cdc1-41c8-be56-e6c3f6b17643	OPTIONS	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	07:44:47	3442ce1b-b053-4254-a389-3cad6c7195be	PATCH	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	07:51:04	c3abe005-c38a-403f-9c17-f9ef51be5468	PATCH	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	07:51:04	f6dcea73-2648-411e-ba8e-97f7c0c45584	OPTIONS	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	07:51:48	9c7c6971-4db1-45e1-9237-5f7ff0359347	OPTIONS	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	07:51:48	d5973fa7-fe2d-4e39-b7ef-b1e63cabe76b	PATCH	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	07:52:08	fd5cee99-980a-4a90-8522-2e03513763ca	OPTIONS	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	07:52:08	ddafd856-a9d1-4b2f-b1c1-f60cf8135d8f	PATCH	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	07:52:45	037aa53b-78af-43fc-999c-61955a3629d2	OPTIONS	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	07:52:45	d3d04fbc-05ca-47c9-9a5f-3506db17ecbc	PATCH	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	07:57:30	0e034db3-7bcf-4872-9bb0-21268bf7265e	OPTIONS	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	07:57:30	65d9743f-0675-439c-8bc3-bdbf6be5f4f7	PATCH	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	08:15:15	c95cb72a-f803-409a-9a6d-1f7765cd07c2	OPTIONS	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	08:15:15	4a92f499-fb33-4f28-8dcf-e845410d8d90	PATCH	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	08:15:56	4d7ca263-8b68-4cb1-b4eb-a4ecba017213	OPTIONS	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	08:15:56	ec30f4ab-c562-4ecf-831d-2fd8cb3e6f00	PATCH	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	08:17:57	f5eadb72-77f5-4851-a31d-a342c7feed72	OPTIONS	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	08:17:57	6f0f1756-ebf4-4531-bfb2-1924feabbca5	PATCH	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	08:18:55	63671162-bcac-43cb-b001-863f14c5648e	OPTIONS	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	08:18:55	a165f6ed-0dcd-4143-89ad-a1a0025da244	PATCH	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	08:22:52	a68ed33d-64ed-4c70-a206-9b83f33305b7	OPTIONS	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	08:22:52	bfc31adb-72cf-4f9e-8daf-de21cc57f507	PUT	/users/password_confirmation?email=itsoluwatobby@gmail.com	http://localhost:5173
December-21-2022	08:25:28	0f5d53eb-9300-44d0-a700-885a36ad7f1e	OPTIONS	/users/password_confirmation	http://localhost:5173
December-21-2022	08:25:29	25903e0b-24dd-410f-8721-88c5748f1318	PUT	/users/password_confirmation	http://localhost:5173
December-21-2022	08:35:04	9e03ee24-f1f6-4224-8a4a-dd14ce63f7f2	OPTIONS	/users/password_confirmation	http://localhost:5173
December-21-2022	08:35:04	ae2a7189-a19f-478e-a3f0-9d3ea1ef9690	PUT	/users/password_confirmation	http://localhost:5173
December-21-2022	08:40:59	e55cda2a-848d-4afc-bd70-9b0a4eaad9a6	OPTIONS	/users/password_confirmation	http://localhost:5173
December-21-2022	08:40:59	deb93a81-c2dc-404c-8a18-f21cb3f54930	PUT	/users/password_confirmation	http://localhost:5173
December-21-2022	08:41:40	fc83870d-2fff-4070-a032-e52712975443	OPTIONS	/users/password_confirmation	http://localhost:5173
December-21-2022	08:41:40	b4e25ca1-b8d2-45a1-8dfa-42211e31474b	PUT	/users/password_confirmation	http://localhost:5173
December-21-2022	08:42:29	0bd6399f-5079-4896-8bb1-224a7253664f	OPTIONS	/users/password_confirmation	http://localhost:5173
December-21-2022	08:42:29	b757b303-a1cf-4cb3-9947-508fc43a5db4	PUT	/users/password_confirmation	http://localhost:5173
December-21-2022	08:44:26	c218ea23-4402-4623-b294-4569a32e8eef	OPTIONS	/users/register	http://localhost:5173
December-21-2022	08:44:26	7522265b-95f0-48f9-9f7d-3da6e6b01da1	POST	/users/register	http://localhost:5173
December-21-2022	08:45:20	3b941d03-7a8f-4ead-a277-58324410dd4a	OPTIONS	/users/password_confirmation	http://localhost:5173
December-21-2022	08:45:20	53d2cda7-53b7-414b-b20d-54e4587af22e	PUT	/users/password_confirmation	http://localhost:5173
December-21-2022	08:46:18	b0d151e9-c504-4758-b842-9bdebd595dd1	OPTIONS	/users/password_confirmation	http://localhost:5173
December-21-2022	08:46:18	e9db9898-3b0a-4152-a5cd-c56a856274c0	PUT	/users/password_confirmation	http://localhost:5173
December-21-2022	08:46:54	3def7d0f-95a5-486b-8d03-b7c2fd7b8caf	OPTIONS	/users/password_confirmation	http://localhost:5173
December-21-2022	08:46:54	57024e75-2061-4f3a-a1dd-546f1fed6aa9	PUT	/users/password_confirmation	http://localhost:5173
December-21-2022	08:48:02	444aaeee-53d1-4b66-bfab-9d0add3ade71	OPTIONS	/users/password_confirmation	http://localhost:5173
December-21-2022	08:48:02	dcb14b88-2e2f-4c50-b5db-b82cced636af	PUT	/users/password_confirmation	http://localhost:5173
December-21-2022	08:49:46	1754db1c-5112-4b85-b018-76f5798eb997	OPTIONS	/users/password_confirmation	http://localhost:5173
December-21-2022	08:49:46	34e4bd35-0562-4a8c-9487-3d862528ae8c	PUT	/users/password_confirmation	http://localhost:5173
December-21-2022	12:31:53	4d0e7a4e-6e7e-44a0-adc9-fd58b945a0f3	OPTIONS	/users/reset_password	http://localhost:5173
December-21-2022	12:31:53	255a139a-16ef-4bd7-a2a0-471f42ef98a2	POST	/users/reset_password	http://localhost:5173
December-21-2022	12:36:02	ac8542a0-2acc-4588-89dd-30b216d5349d	OPTIONS	/users/reset_password	http://localhost:5173
December-21-2022	12:36:02	6bf4890b-e67d-4068-8dcf-dd03f455caf6	POST	/users/reset_password	http://localhost:5173
December-21-2022	12:39:37	e3e675b5-a13e-4758-a36a-9d6f5bc58a95	OPTIONS	/users/reset_password	http://localhost:5173
December-21-2022	12:39:37	945e95ee-1f5b-4f9a-848c-2ee16491cd38	POST	/users/reset_password	http://localhost:5173
December-21-2022	12:40:50	ba4352f3-cb69-4803-b39b-dc892cb503cf	GET	/users/password_reset_confirmation?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySW5mbyI6eyJlbWFpbCI6Iml0c29sdXdhdG9iYnlAZ21haWwuY29tIiwicm9sZXMiOlsiVVNFUiJdfSwiaWF0IjoxNjcxNjIyNzc3LCJleHAiOjE2NzE2MjM5Nzd9.ko0la5_wRY5MrMvF-amEubKoj70tmJfB-lfC2NuCgg0	undefined
December-21-2022	12:41:27	2adfa0c0-0e92-459b-aff3-3a2006de3747	OPTIONS	/users/password_confirmation	http://localhost:5173
December-21-2022	12:41:27	1f4a5675-19e7-4819-a16a-fa2ce4046e53	PUT	/users/password_confirmation	http://localhost:5173
December-21-2022	12:41:52	0a0e3fa1-7f41-4c2e-aa99-dd15f80beda4	OPTIONS	/users/password_confirmation	http://localhost:5173
December-21-2022	12:41:52	0ee8bb3b-3d30-45d9-98b7-cf8fadbfbdc3	PUT	/users/password_confirmation	http://localhost:5173
December-21-2022	12:46:38	2cbbb8cf-e1d5-4927-a60f-2a35ed74809c	OPTIONS	/users/password_confirmation	http://localhost:5173
December-21-2022	12:46:38	64781929-488c-4bf1-94e1-88a52bcf0981	PUT	/users/password_confirmation	http://localhost:5173
December-21-2022	12:46:43	318854dd-5f71-4b22-8465-b2eb6a4f938d	OPTIONS	/users/password_confirmation	http://localhost:5173
December-21-2022	12:46:43	9871400c-3419-40ee-b574-dc05144c4c69	PUT	/users/password_confirmation	http://localhost:5173
December-21-2022	12:59:16	144e2281-caf9-44da-ae5b-c94300cbc8ad	OPTIONS	/users/reset_password	http://localhost:5173
December-21-2022	12:59:16	ccfc89fa-0a7c-4595-9fc1-4191c7e79686	POST	/users/reset_password	http://localhost:5173
December-21-2022	13:05:56	447c622d-50c9-4120-9c8f-32e008dac707	OPTIONS	/users/reset_password	http://localhost:5173
December-21-2022	13:05:56	eaec6c3d-3e1a-4b90-852f-801b8b71cf35	POST	/users/reset_password	http://localhost:5173
December-21-2022	13:13:07	84122e62-d859-47db-995f-aefc10d7edcb	GET	/users/password_reset_confirmation?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySW5mbyI6eyJlbWFpbCI6Iml0c29sdXdhdG9iYnlAZ21haWwuY29tIiwicm9sZXMiOlsiVVNFUiJdfSwiaWF0IjoxNjcxNjI0MzU2LCJleHAiOjE2NzE2MjU1NTZ9.mQ-EHYTZH5J36p-ZQDv3L8JyJDthVOprw_ksM_lIxpI	undefined
December-21-2022	13:13:27	a22020d7-c00e-4172-bc01-30c030551bb4	OPTIONS	/users/password_confirmation	http://localhost:5173
December-21-2022	13:13:27	c3df163d-d29b-4b99-898f-e4f0e1000c8c	PUT	/users/password_confirmation	http://localhost:5173
December-21-2022	13:13:51	e402fbcc-cd9b-49af-9a8a-ab19852ae2a1	OPTIONS	/users/reset_password	http://localhost:5173
December-21-2022	13:13:51	e59a2a8a-b967-401f-834f-e3fa042ca34d	POST	/users/reset_password	http://localhost:5173
December-21-2022	13:14:47	b9c6d9de-62f5-43cd-a565-9d5b668c8e19	GET	/users/password_reset_confirmation?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySW5mbyI6eyJlbWFpbCI6Iml0c29sdXdhdG9iYnlAZ21haWwuY29tIiwicm9sZXMiOlsiVVNFUiJdfSwiaWF0IjoxNjcxNjI0ODMxLCJleHAiOjE2NzE2MjYwMzF9.lC7Kvb4ZRYxsDVpZAtOpIp0jyEU7LN2BaXBb_6xdsz4	undefined
December-21-2022	13:15:02	bc5d1a16-31f2-436f-97c1-862b1e776901	OPTIONS	/users/password_confirmation	http://localhost:5173
December-21-2022	13:15:02	e0111044-b25d-4b1b-a030-7faf9b27dfcc	PUT	/users/password_confirmation	http://localhost:5173
December-21-2022	13:15:11	67728a92-d817-4091-91b6-9f1cad63edc3	GET	/users/password_reset_confirmation?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySW5mbyI6eyJlbWFpbCI6Iml0c29sdXdhdG9iYnlAZ21haWwuY29tIiwicm9sZXMiOlsiVVNFUiJdfSwiaWF0IjoxNjcxNjI0ODMxLCJleHAiOjE2NzE2MjYwMzF9.lC7Kvb4ZRYxsDVpZAtOpIp0jyEU7LN2BaXBb_6xdsz4	undefined
December-21-2022	13:16:23	72ae44c6-d3c2-4313-b965-176c4b2eb0f3	OPTIONS	/users/password_confirmation	http://localhost:5173
December-21-2022	13:16:23	eead077e-a5a9-4d1b-910f-32e1becd9f70	PUT	/users/password_confirmation	http://localhost:5173
December-21-2022	13:16:39	09198b93-7bf3-4335-a9f0-6fb0ecf82467	GET	/users/password_reset_confirmation?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySW5mbyI6eyJlbWFpbCI6Iml0c29sdXdhdG9iYnlAZ21haWwuY29tIiwicm9sZXMiOlsiVVNFUiJdfSwiaWF0IjoxNjcxNjI0ODMxLCJleHAiOjE2NzE2MjYwMzF9.lC7Kvb4ZRYxsDVpZAtOpIp0jyEU7LN2BaXBb_6xdsz4	undefined
December-21-2022	13:17:15	ed386145-69cc-493e-a20d-51e8091a9c30	OPTIONS	/users/password_confirmation	http://localhost:5173
December-21-2022	13:17:15	4f6c035c-ff0a-4509-ae08-112bc9d68201	PUT	/users/password_confirmation	http://localhost:5173
December-21-2022	13:21:08	3e9d63b9-53e3-49fb-a620-2962c4001004	OPTIONS	/users/reset_password	http://localhost:5173
December-21-2022	13:21:08	22b70603-8bd9-4c0b-9839-6ad3fddab056	POST	/users/reset_password	http://localhost:5173
December-21-2022	13:22:23	b7335f30-cdc5-41ba-bf83-0946a64b6478	GET	/users/password_reset_confirmation?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySW5mbyI6eyJlbWFpbCI6Iml0c29sdXdhdG9iYnlAZ21haWwuY29tIiwicm9sZXMiOlsiVVNFUiJdfSwiaWF0IjoxNjcxNjI1MjY4LCJleHAiOjE2NzE2MjY0Njh9.WfVyLyOwoUDkOa-2KJTphVWTHVjikF6DbxHbqRTMTkY	undefined
